CVE_ENT,Región,Mercado,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum,VAtenciónNov,VAtenciónAcum,VAparienciaFísNov,VAparienciaFísAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VCortesíaNov,VCortesíaAcum,VConocimientoNov,VConocimientoAcum,VAyudaNov,AAyudaNov,VInvitaciónNov,VInvitaciónAcum,VPManejoNov,VPManejoAcum,VExperienciaPagoNov,VExperienciaPagoAcum,VProductosFinNov,VProductosFinAcum,VOpcionPagoNov,VOpciónPagoAcum,VContratoNov,VContratoAcum,VTDocsNov,VTDocsAcum,VEntregaNov,VEntregaAcum,VEntregaFechaNov,VEntregaFechaAcum,VLimpiezaNov,VLimpiezaAcum,VEstaodoNov,VEstadoAcum,VExplicaciónCarNov,VExplicaciónCarAcum,VTEntregaNov,VTEntregaAcum,VEAgendarNov,VEAgendaAcum,VLVerificaciónNov,VLVerificaciónAcum,VCompromisosNov,VCompromisosAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VVelocidadQuejasNov,VVelocidadQuejasAcum,VEncantoNov,VEncantoAcum,VCompartirNov,VCompartirAcum
14,M2 - M2,B - B,M2643 - Lagos Autocamiones,-,82.0,-,81.1,-,79.3,-,88.6,-,83.3,-,81.0,-,83.6,-,63.6,-,40.9,-,27.5,-,31.8,-,78.9,-,77.6,-,30.4,-,25.0,-,9.4,-,3.1,-,80.2,-,6.8,-,42.5,-,45.5,-,62.5,-,32.5,-,12.5,-,94.7,-,77.6,-,87.7,-,87.7,-,14.3,-,84.1,-,89.2
14,M2 - M2,B - B,M2677 - Ramsa Leon,-,74.6,-,76.0,-,79.0,-,88.3,-,80.5,-,80.9,-,76.6,-,64.1,-,37.9,-,40.6,-,57.0,-,79.2,-,68.9,-,35.8,-,47.1,-,47.5,-,39.4,-,79.0,-,12.2,-,73.0,-,56.4,-,55.1,-,22.4,-,50.0,-,100.0,-,76.4,-,77.8,-,84.1,-,43.5,-,77.8,-,69.0
14,M2 - M2,B - B,"M2683 - Ramsa San Miguel,S.A. De C.V.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,M2 - M2,B - B,M2694 - Cavsa Colima Automotriz,-,90.6,-,86.1,-,98.1,-,90.7,-,84.3,-,80.6,-,94.4,-,100.0,-,91.7,-,58.3,-,91.7,-,66.7,-,79.6,-,77.8,-,90.0,-,75.0,-,75.0,-,84.3,-,56.2,-,90.6,-,75.0,-,87.5,-,75.0,-,87.5,-,100.0,-,91.7,-,88.5,-,81.5,-,45.0,-,100.0,-,93.5
32,M2 - M2,B - B,M2695 - Autos de Calidad de Zacatecas,-,81.9,-,79.4,-,88.9,-,90.6,-,86.7,-,81.7,-,88.5,-,51.3,-,45.8,-,51.3,-,59.7,-,79.4,-,77.4,-,64.4,-,71.3,-,62.0,-,61.1,-,77.9,-,25.7,-,62.9,-,64.3,-,65.7,-,45.7,-,60.2,-,98.6,-,76.5,-,87.3,-,80.4,-,34.2,-,86.4,-,84.7
11,M2 - M2,C - C,M2080 - Distribuidora Regional,62.5,78.7,75.0,83.1,75.0,75.3,100.0,86.7,75.0,82.4,75.0,71.4,75.0,79.2,75.0,67.3,75.0,53.0,0.0,44.0,75.0,54.0,100.0,84.3,75.0,72.6,0.0,46.0,0.0,35.8,0.0,34.4,0.0,21.9,75.0,78.0,0.0,12.0,100.0,60.0,100.0,58.3,75.0,45.0,0.0,15.0,75.0,46.7,100.0,93.8,75.0,76.2,0.0,78.0,100.0,84.3,-,43.8,75.0,84.9,0.0,81.3
14,M2 - M2,C - C,M2091 - Jimenez,83.3,90.0,75.0,88.6,100.0,84.8,100.0,89.8,87.5,90.0,100.0,87.5,87.5,94.0,100.0,57.4,75.0,50.0,100.0,41.2,100.0,57.8,50.0,92.2,75.0,85.2,100.0,54.3,100.0,65.3,87.5,74.0,100.0,59.0,100.0,88.7,-,49.0,-,61.5,-,66.7,-,80.2,-,59.4,-,76.8,100.0,97.0,50.0,88.8,100.0,93.1,100.0,84.6,-,64.5,87.5,92.5,100.0,90.6
16,M2 - M2,C - C,M2104 - Morelia Automotriz,-,77.0,-,79.6,-,77.8,-,88.4,-,86.1,-,75.5,-,81.1,-,62.5,-,20.8,-,35.4,-,77.1,-,75.9,-,70.8,-,51.2,-,60.0,-,30.4,-,17.9,-,75.9,-,-3.6,-,66.1,-,82.1,-,50.0,-,8.9,-,22.5,-,91.4,-,78.4,-,84.9,-,85.2,-,12.5,-,80.6,-,75.0
22,M2 - M2,C - C,M2137 - Mylsa Queretaro,95.8,59.9,87.5,61.0,100.0,69.4,100.0,80.0,100.0,63.3,87.5,60.7,87.5,64.5,100.0,60.3,75.0,18.1,75.0,25.9,100.0,48.2,50.0,70.5,100.0,70.3,-,30.1,-,37.7,-,18.8,-,32.4,87.5,53.8,0.0,-9.9,100.0,51.3,75.0,47.8,100.0,35.8,100.0,-1.7,100.0,15.1,100.0,87.6,100.0,56.4,100.0,78.6,100.0,75.0,-,3.0,100.0,61.5,100.0,52.8
16,M2 - M2,C - C,M2453 - Vehiculos Automotrices de La Piedad,83.3,81.5,100.0,77.9,66.7,76.5,100.0,80.9,66.7,76.5,91.7,75.0,100.0,87.9,-,77.8,-,36.1,-,36.1,-,72.2,100.0,82.4,100.0,68.9,-,58.9,-,44.6,-,41.7,-,52.8,41.7,77.2,100.0,67.5,100.0,70.0,100.0,72.5,100.0,40.0,75.0,47.5,75.0,12.5,100.0,85.7,100.0,82.4,66.7,78.1,100.0,70.6,-,35.0,66.7,87.5,91.7,85.3
22,M2 - M2,C - C,M2507 - Montes Queretaro,93.1,78.1,33.3,77.4,66.7,73.5,91.7,81.7,100.0,81.7,100.0,77.9,100.0,81.7,-,66.7,-,48.4,-,55.2,-,59.0,66.7,73.2,100.0,73.8,-,59.5,-,56.4,-,49.6,-,59.1,100.0,78.6,-,40.5,-,67.3,-,65.0,-,49.1,-,55.5,-,28.7,100.0,96.3,100.0,77.4,100.0,78.0,100.0,86.1,-,21.7,91.7,81.7,66.7,75.3
16,M2 - M2,C - C,M2625 - Automotriz del Valle de Zamora,100.0,93.0,100.0,94.5,100.0,90.1,100.0,93.3,100.0,94.8,100.0,87.0,100.0,95.4,-,68.8,-,40.6,-,53.1,-,62.5,100.0,91.3,100.0,94.2,-,72.9,-,62.5,-,92.5,-,77.5,100.0,93.8,-,37.5,-,72.5,-,55.0,-,65.0,-,35.0,-,16.7,100.0,98.7,100.0,92.0,100.0,93.5,100.0,92.4,-,45.8,100.0,92.7,100.0,90.1
11,M2 - M2,C - C,M2648 - Autos SS de Irapuato,94.2,81.4,95.0,80.4,90.0,82.2,95.0,89.8,100.0,82.0,90.0,79.0,100.0,86.7,-,78.9,-,66.4,-,67.2,-,61.7,80.0,82.3,90.0,77.6,75.0,59.2,75.0,54.3,75.0,52.9,75.0,50.0,90.0,78.6,75.0,45.1,75.0,68.3,87.5,67.1,87.5,69.5,87.5,48.1,87.5,55.1,100.0,97.8,95.0,75.2,80.0,84.6,100.0,87.3,-,37.5,95.0,84.7,95.0,85.5
16,M2 - M2,C - C,M2688 - Ravisa Motors,29.2,78.2,100.0,80.1,-75.0,75.8,75.0,87.9,100.0,78.9,0.0,77.2,75.0,85.0,100.0,71.1,75.0,43.4,100.0,52.6,100.0,40.8,0.0,77.5,-100.0,70.6,100.0,47.1,100.0,46.3,75.0,26.2,100.0,26.2,100.0,75.3,-,27.9,-,55.8,-,43.3,-,37.5,-,22.1,-,22.1,100.0,91.7,0.0,74.7,100.0,85.9,100.0,84.4,-,11.5,100.0,84.7,0.0,79.2
19,M2 - M2,D - D,"M3044 - Automoviles, S.A. de C.V.",-,66.0,-,55.0,-,62.5,-,79.2,-,58.3,-,50.0,-,58.3,-,0.0,-,16.7,-,0.0,-,25.0,-,83.3,-,58.3,-,56.2,-,43.8,-,0.0,-,-12.5,-,50.0,-,83.3,-,91.7,-,91.7,-,58.3,-,25.0,-,0.0,-,100.0,-,62.5,-,100.0,-,100.0,-,-,-,70.8,-,95.8
19,M3 - M3,A - A,M3011 - Autokam Automotriz,100.0,85.7,100.0,89.1,100.0,89.0,93.8,93.9,100.0,88.3,100.0,86.2,100.0,88.3,-,82.4,-,33.8,-,39.7,-,50.0,100.0,91.1,100.0,87.2,-,40.0,-,28.8,-,11.8,-,23.5,100.0,86.5,-,43.8,-,68.8,-,51.3,-,37.5,-,38.8,-,-5.4,100.0,92.6,100.0,84.8,100.0,89.4,75.0,87.7,100.0,46.4,100.0,86.5,100.0,80.9
5,M3 - M3,A - A,M3014 - Jacobo Rodriguez Motors,99.0,83.9,100.0,84.4,100.0,85.9,100.0,85.7,100.0,84.5,100.0,75.0,100.0,83.5,-,52.1,-,0.0,-,27.2,-,35.4,75.0,90.7,100.0,82.2,-,49.2,-,35.8,-,27.2,-,37.0,93.8,80.4,75.0,-2.7,75.0,49.1,100.0,50.0,100.0,31.2,0.0,13.4,75.0,1.2,100.0,94.4,100.0,81.8,100.0,89.1,75.0,77.5,100.0,53.4,100.0,88.4,100.0,87.2
28,M3 - M3,A - A,M3016 - Mexicana Automotriz (Suc. Matamoros),100.0,90.8,100.0,90.0,100.0,80.0,100.0,95.0,100.0,80.0,100.0,80.0,100.0,95.0,-,0.0,-,0.0,-,0.0,-,100.0,100.0,100.0,100.0,80.0,-,75.0,-,75.0,-,0.0,-,75.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.0,100.0,95.0,100.0,60.0,100.0,80.0,-,100.0,100.0,80.0,100.0,95.0
5,M3 - M3,A - A,M3034 - Automotriz Monclova,98.6,83.7,100.0,78.9,100.0,80.1,100.0,92.4,100.0,86.9,100.0,83.1,100.0,84.3,-,72.2,-,30.6,-,61.1,-,66.7,100.0,74.6,91.7,76.7,100.0,47.1,100.0,57.4,100.0,52.8,100.0,58.3,100.0,80.1,-,10.4,-,81.8,-,54.2,-,60.4,-,25.0,-,42.9,100.0,97.2,100.0,81.4,100.0,86.4,100.0,86.4,-,21.9,100.0,90.1,100.0,89.7
19,M3 - M3,A - A,"M3035 - Automotriz Monterrey, S. A. de C.V.",-,85.3,-,83.6,-,84.6,-,87.5,-,87.8,-,80.9,-,84.9,-,78.4,-,40.2,-,50.0,-,39.8,-,82.3,-,87.1,-,62.5,-,60.0,-,69.2,-,75.0,-,85.1,-,27.9,-,62.5,-,68.0,-,57.7,-,48.1,-,60.7,-,95.9,-,82.2,-,85.1,-,88.6,-,29.2,-,85.6,-,86.8
28,M3 - M3,A - A,M3037 - Automotriz Reynosa,98.6,82.0,100.0,81.5,100.0,82.8,100.0,93.1,100.0,85.2,100.0,75.4,100.0,86.0,-,76.9,-,38.5,-,42.3,-,67.3,100.0,77.3,91.7,73.5,100.0,43.8,100.0,44.8,100.0,14.7,75.0,17.6,100.0,82.2,-,6.8,-,61.4,-,65.9,-,36.4,-,15.9,-,0.0,100.0,92.9,100.0,83.0,66.7,84.8,100.0,84.8,-,3.1,100.0,84.1,100.0,83.3
28,M3 - M3,A - A,"M3102 - Mexicana Automotriz, S.A. de C.V.",-,67.2,-,75.9,-,80.4,-,95.5,-,75.9,-,72.4,-,81.0,-,67.9,-,32.1,-,64.3,-,57.1,-,75.9,-,70.7,-,7.5,-,35.0,-,17.9,-,21.4,-,51.7,-,-42.3,-,19.2,-,61.5,-,21.2,-,-17.3,-,-12.5,-,90.0,-,54.3,-,72.4,-,85.7,-,56.2,-,78.4,-,67.2
19,M3 - M3,A - A,M3140 - Auto Camiones Universidad,83.3,83.1,75.0,80.3,37.5,86.9,100.0,91.0,87.5,85.2,50.0,79.0,87.5,85.8,75.0,60.2,75.0,28.4,75.0,22.7,75.0,42.9,100.0,83.9,75.0,82.6,75.0,47.3,37.5,52.6,75.0,47.2,75.0,34.3,87.5,79.4,0.0,-6.7,100.0,67.3,100.0,65.4,75.0,49.0,75.0,7.7,75.0,27.3,100.0,89.3,75.0,82.4,0.0,86.4,100.0,83.9,-,1.3,87.5,84.1,87.5,83.9
24,M3 - M3,A - A,M3181 - Automoviles de Valles,70.8,91.6,75.0,89.2,100.0,94.6,100.0,98.0,75.0,93.9,75.0,89.2,100.0,93.9,-,66.7,-,25.0,-,33.3,-,66.7,100.0,91.9,75.0,91.2,75.0,71.4,100.0,70.8,75.0,81.2,75.0,81.2,0.0,87.8,100.0,25.0,100.0,58.3,75.0,66.7,75.0,60.0,0.0,16.7,0.0,37.5,100.0,100.0,75.0,89.2,100.0,89.2,100.0,89.2,-,50.0,100.0,95.3,75.0,92.1
5,M3 - M3,A - A,M3447 - Automotores Coahuilenses,89.8,86.0,94.4,83.8,88.9,87.8,94.4,91.7,94.4,89.1,97.2,87.6,97.2,92.0,75.0,83.3,75.0,54.5,75.0,65.2,75.0,68.0,100.0,86.0,94.4,85.2,75.0,66.5,75.0,68.7,75.0,56.1,75.0,59.3,69.4,81.9,37.5,31.4,37.5,60.6,37.5,58.8,37.5,59.1,0.0,34.8,37.5,46.6,100.0,96.4,86.1,81.7,100.0,87.3,77.8,85.7,87.5,17.9,97.2,89.3,94.4,85.6
19,M3 - M3,A - A,M3522 - Auto Camiones Universidad (Suc. La Fe),-,82.7,-,83.2,-,86.3,-,86.2,-,89.0,-,82.7,-,88.3,-,82.9,-,42.1,-,61.8,-,65.8,-,87.6,-,79.8,-,60.3,-,49.1,-,50.0,-,50.0,-,82.4,-,58.3,-,63.3,-,70.0,-,59.2,-,65.0,-,38.5,-,96.2,-,85.5,-,78.6,-,86.7,-,11.4,-,84.4,-,75.5
28,M3 - M3,A - A,M3527 - Vista Hermosa Laredo Motors,-,84.0,-,78.8,-,89.0,-,94.5,-,82.9,-,83.3,-,80.5,-,80.6,-,52.8,-,50.0,-,69.4,-,83.3,-,82.9,-,63.0,-,64.1,-,57.4,-,77.9,-,84.2,-,25.0,-,55.9,-,48.5,-,30.9,-,27.9,-,45.8,-,89.5,-,80.5,-,75.3,-,75.3,-,30.6,-,87.3,-,88.7
19,M3 - M3,A - A,M3654 - Car One Valle,66.7,82.2,0.0,77.7,75.0,82.6,75.0,87.3,75.0,88.7,75.0,82.9,75.0,87.8,100.0,69.8,75.0,35.3,75.0,55.4,100.0,63.4,100.0,81.5,100.0,79.9,-,58.1,-,59.1,-,48.3,-,31.5,0.0,84.5,0.0,23.5,100.0,73.5,75.0,70.3,0.0,53.0,0.0,25.8,-75.0,22.0,0.0,97.2,75.0,84.5,0.0,79.5,0.0,83.1,0.0,16.3,75.0,82.7,75.0,73.6
19,M3 - M3,A - A,M3788 - Automotores Cumbres,89.2,82.2,90.0,79.4,95.0,79.4,80.0,82.9,90.0,90.3,90.0,80.8,95.0,85.6,100.0,80.6,75.0,37.5,75.0,52.8,100.0,55.6,80.0,88.9,95.0,84.3,100.0,49.0,100.0,63.0,100.0,53.6,0.0,50.0,95.0,84.2,100.0,50.0,100.0,61.5,100.0,64.1,100.0,68.8,100.0,68.8,100.0,44.7,100.0,95.3,80.0,79.4,60.0,78.9,100.0,81.1,-,10.9,95.0,84.0,75.0,75.8
28,M3 - M3,B - B,M3020 - Automotriz Tampico,-66.7,77.0,-100.0,73.8,-75.0,75.0,0.0,81.4,75.0,83.3,0.0,78.8,0.0,83.5,75.0,83.3,-100.0,50.0,100.0,67.6,75.0,75.0,100.0,74.6,-75.0,66.2,0.0,55.6,0.0,58.1,-75.0,35.3,100.0,55.9,-75.0,72.9,100.0,43.2,100.0,71.6,100.0,56.8,-100.0,54.5,75.0,51.1,-75.0,26.8,0.0,96.9,-75.0,80.0,0.0,73.3,0.0,81.7,-100.0,-6.8,-75.0,80.0,-100.0,79.2
28,M3 - M3,B - B,M3039 - Automotriz Victoria,100.0,81.0,100.0,80.2,100.0,84.3,100.0,89.1,100.0,85.3,100.0,77.9,100.0,81.9,-,72.6,-,41.7,-,59.5,-,59.5,100.0,79.3,100.0,76.7,-,55.6,-,51.6,-,59.5,-,60.7,100.0,73.0,-,40.5,-,59.5,-,58.6,-,55.2,-,35.3,-,54.4,100.0,96.4,100.0,82.5,100.0,93.1,100.0,81.6,-,35.0,100.0,88.2,100.0,83.6
8,M3 - M3,B - B,M3065 - Productos Automotrices (Suc. Parral),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M3 - M3,B - B,M3074 - Chihuahua Motors,97.9,81.0,100.0,79.9,50.0,82.0,87.5,86.8,100.0,84.9,100.0,78.0,100.0,80.3,-,70.2,-,59.5,-,57.1,-,63.1,100.0,85.5,100.0,78.7,-,46.0,-,60.0,-,55.8,-,67.3,100.0,78.3,-,-27.9,-,45.6,-,27.9,-,14.7,-,-5.9,-,38.9,100.0,93.9,100.0,75.7,100.0,86.8,100.0,86.8,-,-17.5,100.0,87.5,87.5,85.9
5,M3 - M3,B - B,M3077 - Distribuidora de Automoviles,-91.7,86.0,-100.0,86.2,-100.0,81.0,-100.0,89.0,-75.0,85.0,-100.0,75.0,-75.0,89.3,0.0,79.2,-75.0,56.2,-75.0,68.8,-100.0,70.8,100.0,89.8,-75.0,82.7,-75.0,38.3,-75.0,48.3,-75.0,50.0,-75.0,44.4,-100.0,87.0,-100.0,15.0,0.0,70.0,-100.0,75.0,-75.0,57.5,-100.0,40.0,-75.0,45.8,100.0,93.5,-100.0,83.0,0.0,73.5,0.0,90.0,-100.0,0.0,-100.0,91.0,-100.0,83.2
10,M3 - M3,B - B,M3101 - CEVER DURANGO,100.0,80.0,100.0,82.1,100.0,79.9,100.0,85.4,100.0,87.1,100.0,76.7,100.0,87.6,-,72.8,-,55.4,-,53.3,-,54.3,100.0,81.3,100.0,76.9,-,45.1,-,52.8,-,46.7,-,57.5,100.0,80.6,-,23.3,-,67.2,-,69.0,-,66.7,-,38.8,-,51.1,100.0,96.1,100.0,72.4,100.0,87.9,50.0,87.9,100.0,-8.3,100.0,82.9,100.0,79.7
28,M3 - M3,B - B,M3121 - Superservicio,100.0,80.1,100.0,81.6,91.7,79.0,100.0,88.4,100.0,82.6,100.0,74.7,100.0,84.3,-,72.8,-,43.5,-,57.6,-,63.0,100.0,85.4,100.0,74.7,-,47.3,-,44.4,-,38.9,-,50.0,100.0,76.7,-,50.0,-,70.0,-,71.4,-,57.9,-,42.1,-,35.7,100.0,84.9,100.0,78.7,100.0,76.1,66.7,83.1,100.0,32.1,100.0,84.6,100.0,81.7
8,M3 - M3,B - B,M3161 - Chihuahua Motors (Suc. Cuauhtemoc),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,M3 - M3,B - B,M3332 - Centro Automotriz de la Laguna,-,88.1,-,92.0,-,84.8,-,88.8,-,90.3,-,89.2,-,93.2,-,61.1,-,37.5,-,50.0,-,47.2,-,86.4,-,85.8,-,52.5,-,52.5,-,25.0,-,19.2,-,86.1,-,38.2,-,57.4,-,83.8,-,63.2,-,43.8,-,34.1,-,98.1,-,88.4,-,82.7,-,82.7,-,57.7,-,88.3,-,86.7
8,M3 - M3,B - B,M3357 - Productos Automotrices (Suc. Delicias),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M3 - M3,B - B,"M3440 - Productos Automotrices, S.A.",100.0,86.2,100.0,84.4,100.0,87.4,100.0,91.9,100.0,89.8,100.0,86.0,100.0,89.2,-,65.2,-,42.0,-,32.7,-,44.6,85.7,86.8,100.0,83.0,-,52.3,-,55.9,-,49.7,-,51.7,100.0,84.7,-,21.0,-,66.5,-,61.9,-,58.6,-,26.9,-,31.1,100.0,96.7,100.0,86.3,85.7,90.8,71.4,84.3,100.0,57.2,100.0,89.6,100.0,84.5
