CVE_ENT,Región,Mercado,Distribuidores principales,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VEntregaNov,VEntregaAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum
26,M3 - M3,C - C,M2050 - Autos y Accesorios (grupo ),M2051 - Autos y Accesorios (Suc. Navojoa),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,M3 - M3,C - C,M2270 - Automotriz del Valle de Baja California (grupo ),M2270 - Automotriz del Valle de Baja California,93.8,78,87.5,81.2,100,80.5,100,79.4,50,83,100,85.3,100,80.6,100,87.7
25,M3 - M3,C - C,M2271 - Autos y Accesorios (Suc. Los Mochis) (grupo ),M2271 - Autos y Accesorios (Suc. Los Mochis),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,M3 - M3,C - C,M2339 - Autos y Tractores de Culiacan (grupo ),M2339 - Autos y Tractores de Culiacan,79.2,80.7,87.5,76.1,50,83.4,87.5,80.1,50,79.5,100,79.8,87.5,78.4,100,83.1
26,M3 - M3,C - C,M2397 - Automoviles de Caborca (grupo ),M2397 - Automoviles de Caborca,83.3,96,75,96.7,75,99.2,100,90.8,100,96.7,0,96.7,100,95.8,75,95.8
2,M3 - M3,C - C,M2410 - Surman BC (Suc.Ensenada) (grupo ),M2410 - Surman BC (Suc.Ensenada),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,M3 - M3,C - C,"M2633 - Autos De Hermosillo, Sa De Cv (grupo )","M2633 - Autos De Hermosillo, Sa De Cv",84.7,84.7,91.7,87.6,100,90.3,91.7,80.6,100,87.2,100,86.5,91.7,88,100,92.1
26,M3 - M3,C - C,"M2633 - Autos De Hermosillo, Sa De Cv (grupo )",M2791 - Autos de Hermosillo (Suc. Nogales),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,M3 - M3,C - C,M2686 - SURMAN BC (grupo ),M2686 - SURMAN BC,100,74.3,100,70.6,100,81,100,70.9,100,73.6,100,76.9,100,74.2,100,83.6
8,M3 - M3,C - C,M3288 - Alden Juarez (grupo ),M3288 - Alden Juarez,97.9,87.9,100,84.7,100,92.6,100,89.4,100,90.9,100,84.6,87.5,88,87.5,88
9,M4 - M4,A - A,M1555 - Lincoln Picacho (grupo ),M1555 - Lincoln Picacho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,M4 - M4,A - A,M1577 - Lincoln Interlomas (grupo ),M1577 - Lincoln Interlomas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,M4 - M4,A - A,M1578 - Lincoln Cancun (grupo ),M1578 - Lincoln Cancun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,M4 - M4,A - A,M2561 - Lincoln BC (grupo ),M2561 - Lincoln BC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,M4 - M4,A - A,M2562 - Lincoln Hermosillo (grupo ),M2562 - Lincoln Hermosillo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,M4 - M4,A - A,M2567 - Lincoln CAVSA (grupo ),M2567 - Lincoln CAVSA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,M4 - M4,A - A,M2571 - Lincoln Sinaloa (grupo ),M2571 - Lincoln Sinaloa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,M4 - M4,A - A,M3557 - Lincoln Monterrey (grupo ),M3557 - Lincoln Monterrey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,M4 - M4,A - A,M3566 - Lincoln Chihuahua (grupo ),M3566 - Lincoln Chihuahua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M4 - M4,A - A,M3569 - Lincoln Laguna (grupo ),M3569 - Lincoln Laguna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
